,joystick,executed
198,"[0.0, 0.0]",[-0.6165395782186273]
199,"[0.0, 0.0]",[-0.6829307062593063]
200,"[0.0, 0.0]",[-0.686717406313273]
201,"[0.0, 0.0]",[-0.8718575585179461]
202,"[0.0, 0.0]",[-0.9959572142900894]
203,"[0.0, 0.0]",[-1.043700307035533]
204,"[0.0, 0.0]",[-1.0832923595258404]
205,"[0.0, 0.0]",[-0.8509203548479927]
206,"[0.0, 0.0]",[-0.3776058703470007]
207,"[0.0, 0.0]",[0.2597975502523294]
208,"[0.0, 0.0]",[0.5433405250577145]
209,"[0.0, 0.0]",[0.5987355484050731]
210,"[0.0, 0.0]",[0.5897252382975805]
211,"[0.0, 0.0]",[0.7041134797373138]
212,"[0.0, 0.0]",[0.8065746763997845]
213,"[0.0, 0.0]",[0.9480709383851017]
214,"[0.0, 0.0]",[1.098381002579534]
215,"[0.0, 0.0]",[1.1845398688136755]
216,"[0.0, 0.0]",[1.2741149794236588]
217,"[0.0, 0.0]",[1.2247316239238348]
218,"[0.0, 0.0]",[1.0528753554871166]
219,"[0.0, 0.0]",[1.0523010263724861]
220,"[0.0, 0.0]",[1.1181532000819492]
